VTX,IDX,in_POSITION0.x,in_POSITION0.y,in_POSITION0.z,in_TANGENT0.x,in_TANGENT0.y,in_TANGENT0.z,in_TANGENT0.w,in_COLOR0.x,in_COLOR0.y,in_COLOR0.z,in_COLOR0.w,in_TEXCOORD0.x,in_TEXCOORD0.y,in_TEXCOORD1.x,in_TEXCOORD1.y,in_TEXCOORD2.x,in_TEXCOORD2.y
0,1794,145.67672729492188,3.5734376907348633,68.27069854736328,0.1886262446641922,0.9142839312553406,-0.3526034951210022,-2.4265678110435703e+38,0.8392156862745098,0.09411764705882353,0.01568627450980392,1.0,0.0,1.0,0.0,1.0,0.0,1.0
1,1795,145.60104370117188,3.470590829849243,68.29146575927734,0.0,33.19874572753906,2.267756938934326,21.099760055541992,0.8392156862745098,0.09411764705882353,0.01568627450980392,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1796,145.59033203125,3.477170705795288,68.2885513305664,0.9786841869354248,0.18255561590194702,-2.4531523709592686e+38,1.0,0.8392156862745098,0.09411764705882353,0.01568627450980392,1.0,1.0,0.0,1.0,0.0,1.0,0.0
3,1794,145.67672729492188,3.5734376907348633,68.27069854736328,0.1886262446641922,0.9142839312553406,-0.3526034951210022,-2.4265678110435703e+38,0.8392156862745098,0.09411764705882353,0.01568627450980392,1.0,0.0,1.0,0.0,1.0,0.0,1.0
4,1796,145.59033203125,3.477170705795288,68.2885513305664,0.9786841869354248,0.18255561590194702,-2.4531523709592686e+38,1.0,0.8392156862745098,0.09411764705882353,0.01568627450980392,1.0,1.0,0.0,1.0,0.0,1.0,0.0
5,1797,145.666015625,3.580017566680908,68.26778411865234,32.442440032958984,1.6323426961898804,20.814748764038086,-0.677973747253418,0.8392156862745098,0.09411764705882353,0.01568627450980392,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1798,143.6443634033203,3.5921454429626465,69.35160064697266,-0.33001509308815,-2.4398600910014195e+38,1.0,0.0,0.8705882352941177,0.10980392156862745,0.01568627450980392,1.0,0.0,1.0,0.0,1.0,0.0,1.0
7,1799,143.68069458007812,3.5096702575683594,69.43434143066406,1.6941558122634888,20.4235782623291,-0.677973747253418,0.6561558842658997,0.8705882352941177,0.10980392156862745,0.01568627450980392,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1800,143.6812744140625,3.501544952392578,69.42527770996094,-3.1039029362394386e+38,0.0,0.0,32.442440032958984,0.8705882352941177,0.10980392156862745,0.01568627450980392,1.0,1.0,0.0,1.0,0.0,1.0,0.0
9,1798,143.6443634033203,3.5921454429626465,69.35160064697266,-0.33001509308815,-2.4398600910014195e+38,1.0,0.0,0.8705882352941177,0.10980392156862745,0.01568627450980392,1.0,0.0,1.0,0.0,1.0,0.0,1.0
10,1800,143.6812744140625,3.501544952392578,69.42527770996094,-3.1039029362394386e+38,0.0,0.0,32.442440032958984,0.8705882352941177,0.10980392156862745,0.01568627450980392,1.0,1.0,0.0,1.0,0.0,1.0,0.0
11,1801,143.6449432373047,3.5840201377868652,69.34253692626953,20.17803382873535,-0.677973747253418,0.6561559438705444,-0.33001509308815,0.8705882352941177,0.10980392156862745,0.01568627450980392,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1802,145.72921752929688,3.3579564094543457,70.50261688232422,1.0,0.0,1.0,0.0,0.9725490196078431,0.17647058823529413,0.0196078431372549,1.0,0.0,1.0,0.0,1.0,0.0,1.0
13,1803,145.72897338867188,3.303515672683716,70.49044036865234,41.20287322998047,0.5813144445419312,30.721851348876953,-7.682891545179871e-10,0.9725490196078431,0.17647058823529413,0.0196078431372549,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,1804,145.72463989257812,3.304272413253784,70.48700714111328,1.0,1.0,1.0,0.0,0.9725490196078431,0.17647058823529413,0.0196078431372549,1.0,1.0,0.0,1.0,0.0,1.0,0.0
15,1802,145.72921752929688,3.3579564094543457,70.50261688232422,1.0,0.0,1.0,0.0,0.9725490196078431,0.17647058823529413,0.0196078431372549,1.0,0.0,1.0,0.0,1.0,0.0,1.0
16,1804,145.72463989257812,3.304272413253784,70.48700714111328,1.0,1.0,1.0,0.0,0.9725490196078431,0.17647058823529413,0.0196078431372549,1.0,1.0,0.0,1.0,0.0,1.0,0.0
17,1805,145.72488403320312,3.358713150024414,70.49918365478516,1.6687439680099487,31.406641006469727,-3.137280302212275e-08,0.5328763723373413,0.9725490196078431,0.17647058823529413,0.0196078431372549,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1806,144.68170166015625,3.4475317001342773,68.67829132080078,0.0,0.0,0.0,0.0,1.0,0.20392156862745098,0.023529411764705882,1.0,0.0,1.0,0.0,1.0,0.0,1.0
19,1807,144.71949768066406,3.3325555324554443,68.74244689941406,-1.0187215627887128e-39,1.0,0.0,0.0,1.0,0.20392156862745098,0.023529411764705882,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1808,144.71632385253906,3.325662851333618,68.73110961914062,-0.09631222486495972,0.9946325421333313,-0.002220734255388379,-1.0187215627887128e-39,1.0,0.20392156862745098,0.023529411764705882,1.0,1.0,0.0,1.0,0.0,1.0,0.0
21,1806,144.68170166015625,3.4475317001342773,68.67829132080078,0.0,0.0,0.0,0.0,1.0,0.20392156862745098,0.023529411764705882,1.0,0.0,1.0,0.0,1.0,0.0,1.0
22,1808,144.71632385253906,3.325662851333618,68.73110961914062,-0.09631222486495972,0.9946325421333313,-0.002220734255388379,-1.0187215627887128e-39,1.0,0.20392156862745098,0.023529411764705882,1.0,1.0,0.0,1.0,0.0,1.0,0.0
23,1809,144.67852783203125,3.440639019012451,68.66695404052734,36.38470458984375,1.4694503545761108,13.502043724060059,-0.09631213545799255,1.0,0.20392156862745098,0.023529411764705882,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1810,143.73289489746094,3.626776933670044,68.93071746826172,0.0,1.1210387714598537e-44,0.0,37.364986419677734,0.8901960784313725,0.11764705882352941,0.01568627450980392,1.0,0.0,1.0,0.0,1.0,0.0,1.0
25,1811,143.78732299804688,3.5143280029296875,68.94725799560547,1.0,1.0,-2.9859047256643293e+29,4.52002832652613e-41,0.8901960784313725,0.11764705882352941,0.01568627450980392,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,1812,143.78170776367188,3.5102310180664062,68.93677520751953,0.9946325421333313,-0.002220775466412306,-1.0187215627887128e-39,0.0,0.8901960784313725,0.11764705882352941,0.01568627450980392,1.0,1.0,0.0,1.0,0.0,1.0,0.0
27,1810,143.73289489746094,3.626776933670044,68.93071746826172,0.0,1.1210387714598537e-44,0.0,37.364986419677734,0.8901960784313725,0.11764705882352941,0.01568627450980392,1.0,0.0,1.0,0.0,1.0,0.0,1.0
28,1812,143.78170776367188,3.5102310180664062,68.93677520751953,0.9946325421333313,-0.002220775466412306,-1.0187215627887128e-39,0.0,0.8901960784313725,0.11764705882352941,0.01568627450980392,1.0,1.0,0.0,1.0,0.0,1.0,0.0
29,1813,143.72727966308594,3.6226799488067627,68.92023468017578,1.5839844942092896,13.574170112609863,-0.09631218016147614,0.9946325421333313,0.8901960784313725,0.11764705882352941,0.01568627450980392,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1814,145.56297302246094,3.255061626434326,68.71727752685547,64376111104.0,4.5201684563725624e-41,36.183834075927734,1.4694515466690063,1.0,0.2549019607843137,0.054901960784313725,1.0,0.0,1.0,0.0,1.0,0.0,1.0
31,1815,145.5483856201172,3.098003387451172,68.73908996582031,1.0,0.0,0.0,0.0,1.0,0.2549019607843137,0.054901960784313725,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,1816,145.53749084472656,3.097431182861328,68.72750854492188,-0.002220545429736376,-6.873541512045003e-27,1.0,0.0,1.0,0.2549019607843137,0.054901960784313725,1.0,1.0,0.0,1.0,0.0,1.0,0.0
33,1814,145.56297302246094,3.255061626434326,68.71727752685547,64376111104.0,4.5201684563725624e-41,36.183834075927734,1.4694515466690063,1.0,0.2549019607843137,0.054901960784313725,1.0,0.0,1.0,0.0,1.0,0.0,1.0
34,1816,145.53749084472656,3.097431182861328,68.72750854492188,-0.002220545429736376,-6.873541512045003e-27,1.0,0.0,1.0,0.2549019607843137,0.054901960784313725,1.0,1.0,0.0,1.0,0.0,1.0,0.0
35,1817,145.5520782470703,3.2544894218444824,68.70569610595703,20.942668914794922,-0.09631361067295074,0.9946323037147522,-0.002220550552010536,1.0,0.2549019607843137,0.054901960784313725,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1818,146.364013671875,3.4210028648376465,68.5657958984375,0.0,36.741241455078125,1.5074498653411865,15.059810638427734,1.0,0.28627450980392155,0.08235294117647059,1.0,0.0,1.0,0.0,1.0,0.0,1.0
