VTX,IDX,in_POSITION0.x,in_POSITION0.y,in_POSITION0.z,in_TEXCOORD0.x,in_TEXCOORD0.y
0,0,251.25,5.230644226074219,-262.5,0.9952520728111267,0.004106581211090088
1,1,128.7499542236328,5.230644226074219,-262.5,0.5103445649147034,0.004105746746063232
2,2,128.75006103515625,5.230644226074219,-112.5,0.5103445649147034,0.9958925843238831
3,0,251.25,5.230644226074219,-262.5,0.9952520728111267,0.004106581211090088
4,2,128.75006103515625,5.230644226074219,-112.5,0.5103445649147034,0.9958925843238831
5,3,251.25,5.230644226074219,-112.5,0.9952520728111267,0.9958934783935547
6,4,-121.24994659423828,5.230644226074219,-262.5,0.5019360184669495,0.0041099488735198975
7,5,-251.25,5.230644226074219,-262.5,0.002203315496444702,0.004106670618057251
8,6,-251.25,5.230644226074219,-112.5,0.0022033751010894775,0.9958934783935547
9,4,-121.24994659423828,5.230644226074219,-262.5,0.5019360184669495,0.0041099488735198975
10,6,-251.25,5.230644226074219,-112.5,0.0022033751010894775,0.9958934783935547
11,7,-121.25004577636719,5.230644226074219,-112.5,0.5019360184669495,0.9958967566490173
