VTX,IDX,in_POSITION0.x,in_POSITION0.y,in_POSITION0.z,in_NORMAL0.x,in_NORMAL0.y,in_NORMAL0.z,in_TEXCOORD0.x,in_TEXCOORD0.y
0,0,-0.015781588852405548,3.2137930393218994,0.3920381963253021,-0.015394264832139015,0.8952757716178894,0.445246160030365,0.352769672870636,0.3917379677295685
1,1,-1.5159357786178589,3.1203420162200928,0.5665279626846313,-0.015394264832139015,0.8952757716178894,0.445246160030365,0.5279102325439453,0.3539144992828369
2,2,-1.2330678701400757,3.012334108352661,0.755033552646637,-0.03307705000042915,0.760451078414917,0.6485523581504822,0.4924304783344269,0.3310025930404663
3,0,-0.015781588852405548,3.2137930393218994,0.3920381963253021,-0.015394264832139015,0.8952757716178894,0.445246160030365,0.352769672870636,0.3917379677295685
4,2,-1.2330678701400757,3.012334108352661,0.755033552646637,-0.03307705000042915,0.760451078414917,0.6485523581504822,0.4924304783344269,0.3310025930404663
5,3,0.12442030012607574,3.0718114376068115,0.7208257913589478,-0.038756389170885086,0.7030245065689087,0.7101086974143982,0.33270901441574097,0.35085248947143555
6,2,-1.2330678701400757,3.012334108352661,0.755033552646637,-0.03307705000042915,0.760451078414917,0.6485523581504822,0.4924304783344269,0.3310025930404663
7,4,0.15690544247627258,2.8270103931427,0.9534727931022644,-0.09776918590068817,0.19637788832187653,0.9756417870521545,0.3258940577507019,0.3112599849700928
8,3,0.12442030012607574,3.0718114376068115,0.7208257913589478,-0.038756389170885086,0.7030245065689087,0.7101086974143982,0.33270901441574097,0.35085248947143555
9,2,-1.2330678701400757,3.012334108352661,0.755033552646637,-0.03307705000042915,0.760451078414917,0.6485523581504822,0.4924304783344269,0.3310025930404663
10,5,-1.2868783473968506,2.6915295124053955,0.8631399273872375,-0.10035698115825653,0.17398428916931152,0.9796212911605835,0.496701180934906,0.2906380593776703
11,4,0.15690544247627258,2.8270103931427,0.9534727931022644,-0.09776918590068817,0.19637788832187653,0.9756417870521545,0.3258940577507019,0.3112599849700928
12,6,0.14799144864082336,1.8411837816238403,1.0943799018859863,-0.12409012764692307,0.03782060369849205,0.9915499687194824,0.32263776659965515,0.19337856769561768
13,4,0.15690544247627258,2.8270103931427,0.9534727931022644,-0.09776918590068817,0.19637788832187653,0.9756417870521545,0.3258940577507019,0.3112599849700928
14,5,-1.2868783473968506,2.6915295124053955,0.8631399273872375,-0.10035698115825653,0.17398428916931152,0.9796212911605835,0.496701180934906,0.2906380593776703
15,6,0.14799144864082336,1.8411837816238403,1.0943799018859863,-0.12409012764692307,0.03782060369849205,0.9915499687194824,0.32263776659965515,0.19337856769561768
16,5,-1.2868783473968506,2.6915295124053955,0.8631399273872375,-0.10035698115825653,0.17398428916931152,0.9796212911605835,0.496701180934906,0.2906380593776703
17,7,-1.371600866317749,1.8068262338638306,0.8693071007728577,-0.11594130843877792,0.046942733228206635,0.9921461939811707,0.5044236183166504,0.1856791079044342
18,6,0.14799144864082336,1.8411837816238403,1.0943799018859863,-0.12409012764692307,0.03782060369849205,0.9915499687194824,0.32263776659965515,0.19337856769561768
19,7,-1.371600866317749,1.8068262338638306,0.8693071007728577,-0.11594130843877792,0.046942733228206635,0.9921461939811707,0.5044236183166504,0.1856791079044342
20,8,-1.0992273092269897,1.3295142650604248,0.8429234027862549,-0.13849878311157227,-0.14758561551570892,0.9793041944503784,0.4718320071697235,0.12926706671714783
21,6,0.14799144864082336,1.8411837816238403,1.0943799018859863,-0.12409012764692307,0.03782060369849205,0.9915499687194824,0.32263776659965515,0.19337856769561768
22,8,-1.0992273092269897,1.3295142650604248,0.8429234027862549,-0.13849878311157227,-0.14758561551570892,0.9793041944503784,0.4718320071697235,0.12926706671714783
23,9,-0.7693719863891602,1.0352343320846558,0.8392937779426575,-0.15132977068424225,-0.12046820670366287,0.9811150431632996,0.432541161775589,0.09467888623476028
24,9,-0.7693719863891602,1.0352343320846558,0.8392937779426575,-0.15132977068424225,-0.12046820670366287,0.9811150431632996,0.432541161775589,0.09467888623476028
25,8,-1.0992273092269897,1.3295142650604248,0.8429234027862549,-0.13849878311157227,-0.14758561551570892,0.9793041944503784,0.4718320071697235,0.12926706671714783
26,10,-1.5921508073806763,1.137148380279541,0.7408913969993591,-0.12767091393470764,-0.07925990223884583,0.9886444807052612,0.5308597087860107,0.10502877086400986
27,11,0.11205140501260757,0.6729241609573364,0.9684063792228699,-0.16578663885593414,-0.1129707545042038,0.979669451713562,0.32609498500823975,0.05421672761440277
28,6,0.14799144864082336,1.8411837816238403,1.0943799018859863,-0.12409012764692307,0.03782060369849205,0.9915499687194824,0.32263776659965515,0.19337856769561768
