VTX,IDX,in_POSITION0.x,in_POSITION0.y,in_POSITION0.z,in_NORMAL0.x,in_NORMAL0.y,in_NORMAL0.z,in_TEXCOORD0.x,in_TEXCOORD0.y
0,0,-22.797800064086914,0.10032474994659424,18.11445426940918,0.0,1.0,0.0,0.055555105209350586,0.9964451193809509
1,1,-22.797800064086914,0.10032474994659424,-1.9373630285263062,0.0,1.0,0.0,0.9307307004928589,0.9964451193809509
2,2,-45.54207229614258,0.10032474994659424,-1.9373630285263062,0.0,1.0,0.0,0.9307307004928589,0.0035548564046621323
3,0,-22.797800064086914,0.10032474994659424,18.11445426940918,0.0,1.0,0.0,0.055555105209350586,0.9964451193809509
4,2,-45.54207229614258,0.10032474994659424,-1.9373630285263062,0.0,1.0,0.0,0.9307307004928589,0.0035548564046621323
5,3,-45.54207229614258,0.10032474994659424,18.11445426940918,0.0,1.0,0.0,0.055555105209350586,0.0035548564046621323
6,4,-22.797800064086914,-0.08816321194171906,-1.9373630285263062,0.0,0.0,-1.0,0.936434268951416,0.9964451193809509
7,5,-45.54207229614258,-0.08816321194171906,-1.9373630285263062,0.0,0.0,-1.0,0.936434268951416,0.0035548564046621323
8,6,-45.54207229614258,0.10032474994659424,-1.9373630285263062,0.0,0.0,-1.0,0.9307307004928589,0.0035548564046621323
9,4,-22.797800064086914,-0.08816321194171906,-1.9373630285263062,0.0,0.0,-1.0,0.936434268951416,0.9964451193809509
10,6,-45.54207229614258,0.10032474994659424,-1.9373630285263062,0.0,0.0,-1.0,0.9307307004928589,0.0035548564046621323
11,7,-22.797800064086914,0.10032474994659424,-1.9373630285263062,0.0,0.0,-1.0,0.9307307004928589,0.9964451193809509
12,8,-22.797800064086914,0.10032474994659424,18.11445426940918,0.0,0.0,1.0,0.055555105209350586,0.9964451193809509
13,9,-45.54207229614258,0.10032474994659424,18.11445426940918,0.0,0.0,1.0,0.055555105209350586,0.0035548564046621323
14,10,-45.54207229614258,-0.08816321194171906,18.11445426940918,0.0,0.0,1.0,0.05001002550125122,0.0035548564046621323
15,8,-22.797800064086914,0.10032474994659424,18.11445426940918,0.0,0.0,1.0,0.055555105209350586,0.9964451193809509
16,10,-45.54207229614258,-0.08816321194171906,18.11445426940918,0.0,0.0,1.0,0.05001002550125122,0.0035548564046621323
17,11,-22.797800064086914,-0.08816321194171906,18.11445426940918,0.0,0.0,1.0,0.05001002550125122,0.9964451193809509
