VTX,IDX,in_POSITION0.x,in_POSITION0.y,in_POSITION0.z,in_NORMAL0.x,in_NORMAL0.y,in_NORMAL0.z,in_NORMAL0.w,in_TEXCOORD0.x,in_TEXCOORD0.y
0,0,-2.9104137420654297,0.6794910430908203,0.070076584815979,0.0,0.0,1.0,0.0,0.9326171875,0.86328125
1,1,-0.8791949152946472,0.7145437598228455,0.070076584815979,0.0,0.0,1.0,0.0,0.9326171875,0.66845703125
2,2,-0.8929046392440796,1.5247406959533691,0.070076584815979,0.0,0.0,1.0,0.0,0.85498046875,0.66845703125
3,0,-2.9104137420654297,0.6794910430908203,0.070076584815979,0.0,0.0,1.0,0.0,0.9326171875,0.86328125
4,2,-0.8929046392440796,1.5247406959533691,0.070076584815979,0.0,0.0,1.0,0.0,0.85498046875,0.66845703125
5,3,-2.924494504928589,1.489896535873413,0.070076584815979,0.0,0.0,1.0,0.0,0.85498046875,0.86328125
6,4,2.8950276374816895,0.8303788304328918,-0.07784608006477356,-0.70703125,0.0,-0.70703125,0.0,0.5673828125,0.306640625
7,5,2.9623098373413086,3.9800825119018555,-0.10571524500846863,0.0,0.0,-1.0,0.0,0.56103515625,0.00473785400390625
8,6,2.9623098373413086,0.8303788304328918,-0.10571524500846863,0.0,0.0,-1.0,0.0,0.56103515625,0.306640625
9,4,2.8950276374816895,0.8303788304328918,-0.07784608006477356,-0.70703125,0.0,-0.70703125,0.0,0.5673828125,0.306640625
10,7,2.8950276374816895,3.9800825119018555,-0.07784608006477356,-0.70703125,0.0,-0.70703125,0.0,0.5673828125,0.00473785400390625
11,5,2.9623098373413086,3.9800825119018555,-0.10571524500846863,0.0,0.0,-1.0,0.0,0.56103515625,0.00473785400390625
12,8,2.8671584129333496,0.8303788304328918,-0.010563964955508709,-1.0,0.0,0.0,0.0,0.57373046875,0.306640625
13,7,2.8950276374816895,3.9800825119018555,-0.07784608006477356,-0.70703125,0.0,-0.70703125,0.0,0.5673828125,0.00473785400390625
14,4,2.8950276374816895,0.8303788304328918,-0.07784608006477356,-0.70703125,0.0,-0.70703125,0.0,0.5673828125,0.306640625
15,8,2.8671584129333496,0.8303788304328918,-0.010563964955508709,-1.0,0.0,0.0,0.0,0.57373046875,0.306640625
