VTX,IDX,in_POSITION0.x,in_POSITION0.y,in_POSITION0.z,in_NORMAL0.x,in_NORMAL0.y,in_NORMAL0.z,in_TANGENT0.x,in_TANGENT0.y,in_TANGENT0.z,in_TANGENT0.w,in_TEXCOORD0.x,in_TEXCOORD0.y,in_TEXCOORD1.x,in_TEXCOORD1.y
0,0,-8.378580093383789,5.67863130569458,-2.6136186122894287,-6.702276229858398,-2.927457332611084,0.31636303663253784,2.514374017715454,-6.269858360290527,-3.1040449142456055,-1.0,0.9562209844589233,0.8955559730529785,0.9562209844589233,0.8955559730529785
1,1,-8.247228622436523,5.3748016357421875,-2.556666374206543,-5.273723125457764,4.704906463623047,2.1369643211364746,-5.069314956665039,-4.985220909118652,-1.9756407737731934,-1.0,0.962116003036499,0.8902249932289124,0.962116003036499,0.8902249932289124
2,2,-8.137163162231445,5.426441192626953,-2.398198127746582,-3.756049156188965,5.706155776977539,2.8980939388275146,-5.374351978302002,-4.611828804016113,1.939145565032959,-1.0,0.9597910046577454,0.8863509893417358,0.9597910046577454,0.8863509893417358
3,0,-8.378580093383789,5.67863130569458,-2.6136186122894287,-6.702276229858398,-2.927457332611084,0.31636303663253784,2.514374017715454,-6.269858360290527,-3.1040449142456055,-1.0,0.9562209844589233,0.8955559730529785,0.9562209844589233,0.8955559730529785
4,2,-8.137163162231445,5.426441192626953,-2.398198127746582,-3.756049156188965,5.706155776977539,2.8980939388275146,-5.374351978302002,-4.611828804016113,1.939145565032959,-1.0,0.9597910046577454,0.8863509893417358,0.9597910046577454,0.8863509893417358
5,3,-8.33152961730957,5.7417893409729,-2.526033401489258,-2.8662478923797607,1.050227165222168,6.713291168212891,-1.7738906145095825,-7.174432754516602,0.21739494800567627,-1.0,0.9543269872665405,0.8938220143318176,0.9543269872665405,0.8938220143318176
6,3,-8.33152961730957,5.7417893409729,-2.526033401489258,-2.8662478923797607,1.050227165222168,6.713291168212891,-1.7738906145095825,-7.174432754516602,0.21739494800567627,-1.0,0.9543269872665405,0.8938220143318176,0.9543269872665405,0.8938220143318176
7,2,-8.137163162231445,5.426441192626953,-2.398198127746582,-3.756049156188965,5.706155776977539,2.8980939388275146,-5.374351978302002,-4.611828804016113,1.939145565032959,-1.0,0.9597910046577454,0.8863509893417358,0.9597910046577454,0.8863509893417358
8,4,-7.994467735290527,5.563526630401611,-2.4453046321868896,-1.4963589906692505,6.8846116065979,2.3830952644348145,-3.2181460857391357,-2.725949764251709,5.994975566864014,-1.0,0.9552879929542542,0.8846529722213745,0.9552879929542542,0.8846529722213745
9,5,-8.540897369384766,6.0780792236328125,-2.7015151977539062,-4.807696342468262,4.988270282745361,-2.3699700832366943,-5.478023052215576,-4.08418083190918,2.592325210571289,-1.0,0.9477789998054504,0.9020029902458191,0.9477789998054504,0.9020029902458191
10,0,-8.378580093383789,5.67863130569458,-2.6136186122894287,-6.702276229858398,-2.927457332611084,0.31636303663253784,2.514374017715454,-6.269858360290527,-3.1040449142456055,-1.0,0.9562209844589233,0.8955559730529785,0.9562209844589233,0.8955559730529785
11,3,-8.33152961730957,5.7417893409729,-2.526033401489258,-2.8662478923797607,1.050227165222168,6.713291168212891,-1.7738906145095825,-7.174432754516602,0.21739494800567627,-1.0,0.9543269872665405,0.8938220143318176,0.9543269872665405,0.8938220143318176
12,3,-8.33152961730957,5.7417893409729,-2.526033401489258,-2.8662478923797607,1.050227165222168,6.713291168212891,-1.7738906145095825,-7.174432754516602,0.21739494800567627,-1.0,0.9543269872665405,0.8938220143318176,0.9543269872665405,0.8938220143318176
13,4,-7.994467735290527,5.563526630401611,-2.4453046321868896,-1.4963589906692505,6.8846116065979,2.3830952644348145,-3.2181460857391357,-2.725949764251709,5.994975566864014,-1.0,0.9552879929542542,0.8846529722213745,0.9552879929542542,0.8846529722213745
14,6,-8.230493545532227,5.813112735748291,-2.566749095916748,3.3999860286712646,5.099690914154053,4.179339408874512,-1.5280128717422485,-3.8830997943878174,6.006462097167969,-1.0,0.95169597864151,0.8924630284309387,0.95169597864151,0.8924630284309387
15,5,-8.540897369384766,6.0780792236328125,-2.7015151977539062,-4.807696342468262,4.988270282745361,-2.3699700832366943,-5.478023052215576,-4.08418083190918,2.592325210571289,-1.0,0.9477789998054504,0.9020029902458191,0.9477789998054504,0.9020029902458191
16,3,-8.33152961730957,5.7417893409729,-2.526033401489258,-2.8662478923797607,1.050227165222168,6.713291168212891,-1.7738906145095825,-7.174432754516602,0.21739494800567627,-1.0,0.9543269872665405,0.8938220143318176,0.9543269872665405,0.8938220143318176
17,6,-8.230493545532227,5.813112735748291,-2.566749095916748,3.3999860286712646,5.099690914154053,4.179339408874512,-1.5280128717422485,-3.8830997943878174,6.006462097167969,-1.0,0.95169597864151,0.8924630284309387,0.95169597864151,0.8924630284309387
18,6,-8.230493545532227,5.813112735748291,-2.566749095916748,3.3999860286712646,5.099690914154053,4.179339408874512,-1.5280128717422485,-3.8830997943878174,6.006462097167969,-1.0,0.95169597864151,0.8924630284309387,0.95169597864151,0.8924630284309387
19,4,-7.994467735290527,5.563526630401611,-2.4453046321868896,-1.4963589906692505,6.8846116065979,2.3830952644348145,-3.2181460857391357,-2.725949764251709,5.994975566864014,-1.0,0.9552879929542542,0.8846529722213745,0.9552879929542542,0.8846529722213745
20,7,-8.021018981933594,5.599552154541016,-2.7198963165283203,-1.9774796962738037,7.12641716003418,0.03355717658996582,1.3511866331100464,0.4874690771102905,7.220372200012207,-1.0,0.948822021484375,0.8856189846992493,0.948822021484375,0.8856189846992493
21,6,-8.230493545532227,5.813112735748291,-2.566749095916748,3.3999860286712646,5.099690914154053,4.179339408874512,-1.5280128717422485,-3.8830997943878174,6.006462097167969,-1.0,0.95169597864151,0.8924630284309387,0.95169597864151,0.8924630284309387
22,7,-8.021018981933594,5.599552154541016,-2.7198963165283203,-1.9774796962738037,7.12641716003418,0.03355717658996582,1.3511866331100464,0.4874690771102905,7.220372200012207,-1.0,0.948822021484375,0.8856189846992493,0.948822021484375,0.8856189846992493
23,8,-8.231124877929688,5.828134536743164,-2.716609001159668,4.357045650482178,4.752350330352783,-3.4468836784362793,2.847099781036377,2.153961658477783,6.463008880615234,-1.0,0.948432981967926,0.8927609920501709,0.948432981967926,0.8927609920501709
24,5,-8.540897369384766,6.0780792236328125,-2.7015151977539062,-4.807696342468262,4.988270282745361,-2.3699700832366943,-5.478023052215576,-4.08418083190918,2.592325210571289,-1.0,0.9477789998054504,0.9020029902458191,0.9477789998054504,0.9020029902458191
25,6,-8.230493545532227,5.813112735748291,-2.566749095916748,3.3999860286712646,5.099690914154053,4.179339408874512,-1.5280128717422485,-3.8830997943878174,6.006462097167969,-1.0,0.95169597864151,0.8924630284309387,0.95169597864151,0.8924630284309387
26,8,-8.231124877929688,5.828134536743164,-2.716609001159668,4.357045650482178,4.752350330352783,-3.4468836784362793,2.847099781036377,2.153961658477783,6.463008880615234,-1.0,0.948432981967926,0.8927609920501709,0.948432981967926,0.8927609920501709
27,8,-8.231124877929688,5.828134536743164,-2.716609001159668,4.357045650482178,4.752350330352783,-3.4468836784362793,2.847099781036377,2.153961658477783,6.463008880615234,-1.0,0.948432981967926,0.8927609920501709,0.948432981967926,0.8927609920501709
28,7,-8.021018981933594,5.599552154541016,-2.7198963165283203,-1.9774796962738037,7.12641716003418,0.03355717658996582,1.3511866331100464,0.4874690771102905,7.220372200012207,-1.0,0.948822021484375,0.8856189846992493,0.948822021484375,0.8856189846992493
29,9,-8.176372528076172,5.502694606781006,-2.796416759490967,-3.971707344055176,6.153949737548828,-0.7268084287643433,6.076304912567139,4.078452110290527,0.4553736448287964,-1.0,0.9441729784011841,0.8865630030632019,0.9441729784011841,0.8865630030632019
30,5,-8.540897369384766,6.0780792236328125,-2.7015151977539062,-4.807696342468262,4.988270282745361,-2.3699700832366943,-5.478023052215576,-4.08418083190918,2.592325210571289,-1.0,0.9477789998054504,0.9020029902458191,0.9477789998054504,0.9020029902458191
31,8,-8.231124877929688,5.828134536743164,-2.716609001159668,4.357045650482178,4.752350330352783,-3.4468836784362793,2.847099781036377,2.153961658477783,6.463008880615234,-1.0,0.948432981967926,0.8927609920501709,0.948432981967926,0.8927609920501709
32,10,-8.307989120483398,5.7014360427856445,-2.7653648853302,-3.109706163406372,-1.1822175979614258,-6.5674614906311035,3.9883899688720703,5.464696407318115,-2.7953386306762695,-1.0,0.9450590014457703,0.8919820189476013,0.9450590014457703,0.8919820189476013
33,8,-8.231124877929688,5.828134536743164,-2.716609001159668,4.357045650482178,4.752350330352783,-3.4468836784362793,2.847099781036377,2.153961658477783,6.463008880615234,-1.0,0.948432981967926,0.8927609920501709,0.948432981967926,0.8927609920501709
34,9,-8.176372528076172,5.502694606781006,-2.796416759490967,-3.971707344055176,6.153949737548828,-0.7268084287643433,6.076304912567139,4.078452110290527,0.4553736448287964,-1.0,0.9441729784011841,0.8865630030632019,0.9441729784011841,0.8865630030632019
35,10,-8.307989120483398,5.7014360427856445,-2.7653648853302,-3.109706163406372,-1.1822175979614258,-6.5674614906311035,3.9883899688720703,5.464696407318115,-2.7953386306762695,-1.0,0.9450590014457703,0.8919820189476013,0.9450590014457703,0.8919820189476013
