VTX,IDX,in_POSITION0.x,in_POSITION0.y,in_POSITION0.z,in_COLOR0.x,in_COLOR0.y,in_COLOR0.z,in_COLOR0.w,in_TEXCOORD0.x,in_TEXCOORD0.y,in_TEXCOORD1.x,in_TEXCOORD1.y,in_TEXCOORD2.x,in_TEXCOORD2.y
0,455,183.40562438964844,-2.4282097816467285,48.877708435058594,1.0,0.08627450980392157,0.03137254901960784,0.5686274509803921,0.125,0.25,0.125,0.25,0.125,0.25
1,456,183.47134399414062,-0.9518944025039673,48.95214080810547,1.0,0.08627450980392157,0.03137254901960784,0.5686274509803921,0.25,0.25,0.25,0.25,0.25,0.25
2,457,184.66726684570312,-1.0776878595352173,49.99877166748047,1.0,0.08627450980392157,0.03137254901960784,0.5686274509803921,0.25,0.0,0.25,0.0,0.25,0.0
3,455,183.40562438964844,-2.4282097816467285,48.877708435058594,1.0,0.08627450980392157,0.03137254901960784,0.5686274509803921,0.125,0.25,0.125,0.25,0.125,0.25
4,457,184.66726684570312,-1.0776878595352173,49.99877166748047,1.0,0.08627450980392157,0.03137254901960784,0.5686274509803921,0.25,0.0,0.25,0.0,0.25,0.0
5,458,184.60154724121094,-2.5540032386779785,49.924339294433594,1.0,0.08627450980392157,0.03137254901960784,0.5686274509803921,0.125,0.0,0.125,0.0,0.125,0.0
6,459,183.7561798095703,-2.718308687210083,50.24818420410156,1.0,0.34509803921568627,0.11372549019607843,0.9058823529411765,0.5,0.75,0.5,0.75,0.5,0.75
7,460,183.83470153808594,-0.9534263610839844,50.33717346191406,1.0,0.34509803921568627,0.11372549019607843,0.9058823529411765,0.625,0.75,0.625,0.75,0.625,0.75
8,461,184.57579040527344,-1.0322449207305908,50.984718322753906,1.0,0.34509803921568627,0.11372549019607843,0.9058823529411765,0.625,0.5,0.625,0.5,0.625,0.5
9,459,183.7561798095703,-2.718308687210083,50.24818420410156,1.0,0.34509803921568627,0.11372549019607843,0.9058823529411765,0.5,0.75,0.5,0.75,0.5,0.75
10,461,184.57579040527344,-1.0322449207305908,50.984718322753906,1.0,0.34509803921568627,0.11372549019607843,0.9058823529411765,0.625,0.5,0.625,0.5,0.625,0.5
11,462,184.4972686767578,-2.7971270084381104,50.895729064941406,1.0,0.34509803921568627,0.11372549019607843,0.9058823529411765,0.5,0.5,0.5,0.5,0.5,0.5
12,463,183.31788635253906,-2.4782464504241943,48.249847412109375,1.0,0.08627450980392157,0.03137254901960784,0.09803921568627451,0.75,0.25,0.75,0.25,0.75,0.25
